epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,24404.8,0.75246,0.45705,0.9524,0.98139,0.96845,0.97694,0.81482,0.90306,0.43797,0.94786,0.002212,0.002212,0.002212
120,24616.7,0.72925,0.44498,0.94121,0.98119,0.9686,0.97713,0.81574,0.89983,0.43777,0.94786,0.002146,0.002146,0.002146
121,24815.2,0.73479,0.45362,0.94666,0.98382,0.96733,0.97794,0.81634,0.90085,0.43811,0.94825,0.00208,0.00208,0.00208
122,25005.4,0.7283,0.43894,0.93329,0.98685,0.96617,0.97756,0.81725,0.89669,0.43602,0.94867,0.002014,0.002014,0.002014
123,25181.2,0.73687,0.44857,0.94306,0.985,0.96659,0.97675,0.81623,0.89736,0.4362,0.94661,0.001948,0.001948,0.001948
124,25375.7,0.72518,0.44156,0.94766,0.98738,0.96407,0.97662,0.81661,0.90073,0.43909,0.94716,0.001882,0.001882,0.001882
125,25583.9,0.71779,0.43617,0.94229,0.98669,0.96362,0.97637,0.81499,0.89983,0.44064,0.94724,0.001816,0.001816,0.001816
126,25867.3,0.72542,0.4379,0.93769,0.98626,0.96288,0.97609,0.81451,0.90286,0.44103,0.94795,0.00175,0.00175,0.00175
127,26063.1,0.70866,0.43361,0.93645,0.98654,0.96074,0.9753,0.81645,0.90098,0.44129,0.94705,0.001684,0.001684,0.001684
128,26261,0.71428,0.43448,0.93393,0.98747,0.96102,0.97608,0.81744,0.89985,0.43863,0.94607,0.001618,0.001618,0.001618
129,26463.2,0.71574,0.43728,0.93719,0.98638,0.9626,0.97739,0.81746,0.89588,0.43797,0.94555,0.001552,0.001552,0.001552
130,26666.2,0.70617,0.42496,0.93631,0.98301,0.96399,0.97689,0.81683,0.89905,0.43521,0.94791,0.001486,0.001486,0.001486
131,26858.4,0.70717,0.42225,0.93131,0.98255,0.96548,0.97708,0.81793,0.90138,0.4371,0.948,0.00142,0.00142,0.00142
132,27069.7,0.70429,0.42533,0.92873,0.98482,0.96288,0.97672,0.81713,0.90266,0.43699,0.94779,0.001354,0.001354,0.001354
133,27284.6,0.70284,0.42427,0.93431,0.98781,0.95917,0.97697,0.81685,0.90352,0.43756,0.9487,0.001288,0.001288,0.001288
134,27497.8,0.71209,0.42542,0.93282,0.98368,0.96198,0.97644,0.81732,0.90148,0.43647,0.94702,0.001222,0.001222,0.001222
135,27709.1,0.69595,0.42112,0.92727,0.98512,0.96399,0.97767,0.81768,0.90039,0.43438,0.94684,0.001156,0.001156,0.001156
136,27916.9,0.69336,0.4158,0.9269,0.98693,0.96459,0.97828,0.81842,0.89957,0.43456,0.94652,0.00109,0.00109,0.00109
137,28128.2,0.68854,0.41058,0.91907,0.98664,0.9644,0.97806,0.81707,0.89843,0.43334,0.9464,0.001024,0.001024,0.001024
138,28325.1,0.69941,0.41955,0.93178,0.98604,0.96177,0.97718,0.81632,0.89873,0.43233,0.94753,0.000958,0.000958,0.000958
139,28532.2,0.68772,0.41635,0.92281,0.9862,0.96251,0.97744,0.81618,0.8995,0.43184,0.94879,0.000892,0.000892,0.000892
140,28727,0.68158,0.41114,0.92201,0.98675,0.96362,0.97733,0.81684,0.89951,0.43268,0.95028,0.000826,0.000826,0.000826
141,28948.3,0.68058,0.4065,0.9222,0.98723,0.96325,0.9779,0.81721,0.89975,0.43237,0.95145,0.00076,0.00076,0.00076
142,29156.8,0.6759,0.40249,0.91956,0.98727,0.96325,0.97793,0.81804,0.9008,0.43136,0.95251,0.000694,0.000694,0.000694
143,29388.2,0.66487,0.39233,0.91352,0.98645,0.96304,0.97747,0.81743,0.9,0.43046,0.95286,0.000628,0.000628,0.000628
144,29602.6,0.67694,0.40185,0.91987,0.98558,0.96214,0.97594,0.81654,0.90036,0.43129,0.95257,0.000562,0.000562,0.000562
145,29811.1,0.67261,0.40494,0.9203,0.98607,0.96037,0.97564,0.81774,0.9009,0.43067,0.95202,0.000496,0.000496,0.000496
146,30016.6,0.66301,0.39457,0.91603,0.98329,0.96362,0.97581,0.81749,0.90154,0.43029,0.95178,0.00043,0.00043,0.00043
147,30211.9,0.67316,0.40123,0.91761,0.98312,0.96325,0.97591,0.81769,0.90129,0.43016,0.95124,0.000364,0.000364,0.000364
148,30405.6,0.65953,0.39439,0.91698,0.98889,0.95898,0.97653,0.81841,0.90012,0.4294,0.95089,0.000298,0.000298,0.000298
149,30573,0.6575,0.39197,0.91237,0.98476,0.96273,0.97663,0.81758,0.90064,0.42994,0.95065,0.000232,0.000232,0.000232
150,30781.2,0.66366,0.39447,0.91551,0.98915,0.95917,0.97649,0.81813,0.90031,0.43022,0.95034,0.000166,0.000166,0.000166
